trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,Welcome.started,Welcome.stopped,Description.started,Description.stopped,text_blank4.started,text_blank4.stopped,Description_Speaking_Text.started,Description_Speaking_Text.stopped,image.started,image.stopped,TIMESTAMP_Speaking_Start,Speaking_Text.started,Speaking_Text.stopped,TIMESTAMP_Speaking_End,text_Yawning.started,text_Yawning.stopped,TIMESTAMP_Yawning_Start,image_2.started,image_2.stopped,TIMESTAMP_Yawning_End,text_3.started,text_3.stopped,TIMESTAMP_Resting_Start,image_3.started,image_3.stopped,TIMESTAMP_Resting_End,text_7.started,text_7.stopped,TIMESTAMP_Resting_Eyes_Closed_Start,sound_1.started,sound_1.stopped,TIMESTAMP_Resting_Eyes_Closed_End,text_4.started,text_4.stopped,TIMESTAMP_Eating_NSF_Start,image_4.started,image_4.stopped,TIMESTAMP_Eating_NSF_End,text_6.started,text_6.stopped,TIMESTAMP_Eating_Nuts_Start,image_6.started,image_6.stopped,TIMESTAMP_Eating_Nuts_End,TIMESTAMP_Eating_Bread_Start,image_5.started,image_5.stopped,TIMESTAMP_Eating_Bread_End,End_Experiment,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,40.80770819098689,None,40.80770819098689,None,94.73182490299223,None,49.76820524799405,None,49.76820524799405,None,1640000438.726899,54.77200457599247,None,1640000478.7031329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David,001,2021_Dec_20_1240,food_intake,2021.2.3,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,138.7453239869792,None,,,,,1640000482.7096288,98.73497423500521,None,1640000522.714852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David,001,2021_Dec_20_1240,food_intake,2021.2.3,None,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,150.76171264698496,None,,,,,,,,,142.77100661798613,None,1640000531.72561,147.7499287489918,None,1640000534.734858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David,001,2021_Dec_20_1240,food_intake,2021.2.3,None,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,157.783303092001,None,,,,,,,,,,,1640000538.7062778,154.73311337601626,None,1640000541.7499342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David,001,2021_Dec_20_1240,food_intake,2021.2.3,None,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,164.75412298797164,None,,,,,,,,,,,1640000545.723109,161.7546098229941,None,1640000548.715786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David,001,2021_Dec_20_1240,food_intake,2021.2.3,None,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,171.7604340830003,None,,,,,,,,,,,1640000552.723584,168.7498705490143,None,1640000555.7440808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David,001,2021_Dec_20_1240,food_intake,2021.2.3,None,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,178.72316113999113,None,,,,,,,,,,,1640000559.7097778,175.73158887698082,None,1640000562.706176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David,001,2021_Dec_20_1240,food_intake,2021.2.3,None,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,185.7508716880111,None,,,,,,,,,,,1640000566.752456,182.77997986599803,None,1640000569.712707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David,001,2021_Dec_20_1240,food_intake,2021.2.3,None,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,192.76097655500052,None,,,,,,,,,,,1640000573.736923,189.75378671300132,None,1640000576.729176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David,001,2021_Dec_20_1240,food_intake,2021.2.3,None,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,199.77325667598052,None,,,,,,,,,,,1640000580.735095,196.7717374439817,None,1640000583.7282639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David,001,2021_Dec_20_1240,food_intake,2021.2.3,None,
