trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,Welcome.started,Welcome.stopped,Description.started,Description.stopped,text_blank4.started,text_blank4.stopped,Description_Speaking_Text.started,Description_Speaking_Text.stopped,image.started,image.stopped,TIMESTAMP_Speaking_Start,Speaking_Text.started,Speaking_Text.stopped,TIMESTAMP_Speaking_End,text_Yawning.started,text_Yawning.stopped,TIMESTAMP_Yawning_Start,image_2.started,image_2.stopped,TIMESTAMP_Yawning_End,text_3.started,text_3.stopped,TIMESTAMP_Resting_Start,image_3.started,image_3.stopped,TIMESTAMP_Resting_End,text_7.started,text_7.stopped,TIMESTAMP_Resting_Eyes_Closed_Start,sound_1.started,sound_1.stopped,TIMESTAMP_Resting_Eyes_Closed_End,text_4.started,text_4.stopped,TIMESTAMP_Eating_NSF_Start,image_4.started,image_4.stopped,TIMESTAMP_Eating_NSF_End,text_6.started,text_6.stopped,TIMESTAMP_Eating_Nuts_Start,image_6.started,image_6.stopped,TIMESTAMP_Eating_Nuts_End,TIMESTAMP_Eating_Bread_Start,image_5.started,image_5.stopped,TIMESTAMP_Eating_Bread_End,End_Experiment,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,77.53280403499957,None,77.53280403499957,None,131.31515576597303,None,86.27797375200316,None,86.27797375200316,None,1640002950.957495,91.31113364698831,None,1640002990.933534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LS,001,2021_Dec_20_1321,food_intake,2021.2.3,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,175.34572493098676,None,,,,,1640002994.9236438,135.28393595200032,None,1640003034.994762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LS,001,2021_Dec_20_1321,food_intake,2021.2.3,None,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,187.29665817297064,None,,,,,,,,,179.3185558670084,None,1640003043.960549,184.30372694000835,None,1640003046.9415512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LS,001,2021_Dec_20_1321,food_intake,2021.2.3,None,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,194.27396490296815,None,,,,,,,,,,,1640003050.952389,191.34190997999394,None,1640003053.9264169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LS,001,2021_Dec_20_1321,food_intake,2021.2.3,None,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,201.3226738969679,None,,,,,,,,,,,1640003057.951007,198.3088847589679,None,1640003060.969059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LS,001,2021_Dec_20_1321,food_intake,2021.2.3,None,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,208.2657746640034,None,,,,,,,,,,,1640003064.929769,205.28722215100424,None,1640003067.922603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LS,001,2021_Dec_20_1321,food_intake,2021.2.3,None,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,215.30105949396966,None,,,,,,,,,,,1640003071.944912,212.30556917801732,None,1640003074.9486132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LS,001,2021_Dec_20_1321,food_intake,2021.2.3,None,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,222.26122983300593,None,,,,,,,,,,,1640003078.919478,219.2508122730069,None,1640003081.913045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LS,001,2021_Dec_20_1321,food_intake,2021.2.3,None,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,229.28474084998015,None,,,,,,,,,,,1640003085.9435258,226.28375334996963,None,1640003088.927413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LS,001,2021_Dec_20_1321,food_intake,2021.2.3,None,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,236.34275274700485,None,,,,,,,,,,,1640003092.9437811,233.27141141501488,None,1640003095.991384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LS,001,2021_Dec_20_1321,food_intake,2021.2.3,None,
