trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,Welcome.started,Welcome.stopped,Description.started,Description.stopped,text_blank4.started,text_blank4.stopped,Description_Speaking_Text.started,Description_Speaking_Text.stopped,image.started,image.stopped,TIMESTAMP_Speaking_Start,Speaking_Text.started,Speaking_Text.stopped,TIMESTAMP_Speaking_End,text_Yawning.started,text_Yawning.stopped,TIMESTAMP_Yawning_Start,image_2.started,image_2.stopped,TIMESTAMP_Yawning_End,text_3.started,text_3.stopped,TIMESTAMP_Resting_Start,image_3.started,image_3.stopped,TIMESTAMP_Resting_End,text_7.started,text_7.stopped,TIMESTAMP_Resting_Eyes_Closed_Start,sound_1.started,sound_1.stopped,TIMESTAMP_Resting_Eyes_Closed_End,text_4.started,text_4.stopped,TIMESTAMP_Eating_NSF_Start,image_4.started,image_4.stopped,TIMESTAMP_Eating_NSF_End,text_6.started,text_6.stopped,TIMESTAMP_Eating_Nuts_Start,image_6.started,image_6.stopped,TIMESTAMP_Eating_Nuts_End,TIMESTAMP_Eating_Bread_Start,image_5.started,image_5.stopped,TIMESTAMP_Eating_Bread_End,End_Experiment,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,34.518695902021136,None,34.518695902021136,None,88.36718094401294,None,43.426379218988586,None,43.426379218988586,None,1640002178.363816,48.42736913799308,None,1640002218.321565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lukas Stingl,001,2021_Dec_20_1309,food_intake,2021.2.3,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,132.39416169497417,None,,,,,1640002222.353119,92.4170880530146,None,1640002262.335448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lukas Stingl,001,2021_Dec_20_1309,food_intake,2021.2.3,None,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,144.4089200249873,None,,,,,,,,,136.4060711839702,None,1640002271.346905,141.40528871899005,None,1640002274.354072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lukas Stingl,001,2021_Dec_20_1309,food_intake,2021.2.3,None,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,151.3785314100096,None,,,,,,,,,,,1640002278.346533,148.39234396599932,None,1640002281.3310778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lukas Stingl,001,2021_Dec_20_1309,food_intake,2021.2.3,None,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,158.42519194300985,None,,,,,,,,,,,1640002285.343446,155.40067710797302,None,1640002288.360147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lukas Stingl,001,2021_Dec_20_1309,food_intake,2021.2.3,None,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,165.38307752402034,None,,,,,,,,,,,1640002292.3410208,162.38550562300952,None,1640002295.328192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lukas Stingl,001,2021_Dec_20_1309,food_intake,2021.2.3,None,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,172.3973462569993,None,,,,,,,,,,,1640002299.3350232,169.39215935900575,None,1640002302.344012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lukas Stingl,001,2021_Dec_20_1309,food_intake,2021.2.3,None,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,179.4232725650072,None,,,,,,,,,,,1640002306.344831,176.3990604269784,None,1640002309.368665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lukas Stingl,001,2021_Dec_20_1309,food_intake,2021.2.3,None,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,186.3862830590224,None,,,,,,,,,,,1640002313.37533,183.43378730502445,None,1640002316.3317351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lukas Stingl,001,2021_Dec_20_1309,food_intake,2021.2.3,None,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,193.39225252199685,None,,,,,,,,,,,1640002320.3415601,190.39528525801143,None,1640002323.3385139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lukas Stingl,001,2021_Dec_20_1309,food_intake,2021.2.3,None,
