trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,Welcome.started,Welcome.stopped,Description.started,Description.stopped,text_blank4.started,text_blank4.stopped,Description_Speaking_Text.started,Description_Speaking_Text.stopped,image.started,image.stopped,TIMESTAMP_Speaking_Start,Speaking_Text.started,Speaking_Text.stopped,TIMESTAMP_Speaking_End,text_Yawning.started,text_Yawning.stopped,TIMESTAMP_Yawning_Start,image_2.started,image_2.stopped,TIMESTAMP_Yawning_End,text_3.started,text_3.stopped,TIMESTAMP_Resting_Start,image_3.started,image_3.stopped,TIMESTAMP_Resting_End,text_7.started,text_7.stopped,TIMESTAMP_Resting_Eyes_Closed_Start,sound_1.started,sound_1.stopped,TIMESTAMP_Resting_Eyes_Closed_End,text_4.started,text_4.stopped,TIMESTAMP_Eating_NSF_Start,image_4.started,image_4.stopped,TIMESTAMP_Eating_NSF_End,text_6.started,text_6.stopped,TIMESTAMP_Eating_Nuts_Start,image_6.started,image_6.stopped,TIMESTAMP_Eating_Nuts_End,TIMESTAMP_Eating_Bread_Start,image_5.started,image_5.stopped,TIMESTAMP_Eating_Bread_End,End_Experiment,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,16.10368929989636,None,16.10368929989636,None,70.06981060001999,None,25.085093299858272,None,25.085093299858272,None,1639936012.3107865,30.076771900057793,None,1639936052.304323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LS,001,2021_Dec_19_1846,food_intake,2021.2.3,145.80490088392528,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,114.07031589979306,None,,,,,1639936056.3050687,74.07019420014694,None,1639936096.3042865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LS,001,2021_Dec_19_1846,food_intake,2021.2.3,145.80490088392528,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,126.07091550016776,None,,,,,,,,,118.07063450012356,None,1639936105.3044038,123.07997860014439,None,1639936108.3045878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LS,001,2021_Dec_19_1846,food_intake,2021.2.3,145.80490088392528,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,133.07092620013282,None,,,,,,,,,,,1639936112.3052845,130.07095330022275,None,1639936115.30451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LS,001,2021_Dec_19_1846,food_intake,2021.2.3,145.80490088392528,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,140.07100080000237,None,,,,,,,,,,,1639936119.3054302,137.07102070003748,None,1639936122.3046422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LS,001,2021_Dec_19_1846,food_intake,2021.2.3,145.80490088392528,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,147.0710176997818,None,,,,,,,,,,,1639936126.3048704,144.07118659978732,None,1639936129.3047757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LS,001,2021_Dec_19_1846,food_intake,2021.2.3,145.80490088392528,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,154.0711837001145,None,,,,,,,,,,,1639936133.304747,151.07113809976727,None,1639936136.3050597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LS,001,2021_Dec_19_1846,food_intake,2021.2.3,145.80490088392528,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,161.07143810018897,None,,,,,,,,,,,1639936140.3046045,158.0712779997848,None,1639936143.305063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LS,001,2021_Dec_19_1846,food_intake,2021.2.3,145.80490088392528,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,168.0715061998926,None,,,,,,,,,,,1639936147.304859,165.07140279980376,None,1639936150.3047435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LS,001,2021_Dec_19_1846,food_intake,2021.2.3,145.80490088392528,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,175.071749499999,None,,,,,,,,,,,1639936154.3043919,172.07147570000961,None,1639936157.3047056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LS,001,2021_Dec_19_1846,food_intake,2021.2.3,145.80490088392528,
