%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 93749.98882412778, 93749.98882412778, 93749.98882412778, 93749.98882412778, 17395.87097118747, 93749.98882412778, 93749.98882412778, 93749.98882412778, -0.014, -0.526, -0.014, 192.0, 127.5, 72.0, 119.5, 72.0, 127.5, 72.0, 0.0, 0.0, 0.0, 1.63999927130429E9, 0.0, 2021-12-20 12:21:11.304
2.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 34749.94418024352, 187500.0, 187500.0, 187500.0, -0.014, -0.526, -0.014, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.639999271312375E9, 0.0, 2021-12-20 12:21:11.312
4.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 34691.762589426355, 187500.0, 187500.0, 187500.0, -0.014, -0.526, -0.014, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.639999271318197E9, 0.0, 2021-12-20 12:21:11.318
6.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 34636.889056788576, 187500.0, 187500.0, 187500.0, -0.019, -0.654, -0.02, 192.0, 127.5, 32.0, 115.5, 72.0, 127.5, 24.0, 0.0, 0.0, 0.0, 1.639999271325717E9, 0.0, 2021-12-20 12:21:11.325
8.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 34621.44400136996, 187500.0, 187500.0, 187500.0, -0.019, -0.654, -0.02, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.639999271333753E9, 0.0, 2021-12-20 12:21:11.333
10.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 34582.10493112862, 187500.0, 187500.0, 187500.0, -0.019, -0.654, -0.02, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.639999271341734E9, 0.0, 2021-12-20 12:21:11.341
12.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 34529.04188979172, 187500.0, 187500.0, 187500.0, -0.019, -0.654, -0.02, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.639999271348326E9, 0.0, 2021-12-20 12:21:11.348
14.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 34469.42978732941, 187500.0, 187500.0, 187500.0, -0.019, -0.654, -0.02, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.639999271355796E9, 0.0, 2021-12-20 12:21:11.355
16.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 34396.40663819393, 187500.0, 187500.0, 187500.0, -0.027500000000000004, -0.78, -0.024, 192.0, 127.0, 112.0, 113.5, 88.0, 127.5, 16.0, 0.0, 0.0, 0.0, 1.639999271363431E9, 0.0, 2021-12-20 12:21:11.363
18.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 34317.683794222336, 187500.0, 187500.0, 187500.0, -0.027500000000000004, -0.78, -0.024, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.639999271373914E9, 0.0, 2021-12-20 12:21:11.373
20.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 34253.914267291344, 187500.0, 187500.0, 187500.0, -0.027500000000000004, -0.78, -0.024, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.63999927138024E9, 0.0, 2021-12-20 12:21:11.380
22.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 34210.52953130359, 187500.0, 187500.0, 187500.0, -0.027500000000000004, -0.78, -0.024, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.639999271394998E9, 0.0, 2021-12-20 12:21:11.394
24.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 34191.15056886084, 187500.0, 187500.0, 187500.0, -0.027500000000000004, -0.78, -0.024, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.639999271395007E9, 0.0, 2021-12-20 12:21:11.395
26.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 34149.3081032405, 187500.0, 187500.0, 187500.0, -0.030750000000000003, -0.876, -0.027, 192.0, 127.0, 120.0, 112.5, 80.0, 127.5, 8.0, 0.0, 0.0, 0.0, 1.639999271408646E9, 0.0, 2021-12-20 12:21:11.408
28.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 34090.45596008968, 187500.0, 187500.0, 187500.0, -0.030750000000000003, -0.876, -0.027, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.639999271408653E9, 0.0, 2021-12-20 12:21:11.408
30.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 34004.8264270814, 187500.0, 187500.0, 187500.0, -0.030750000000000003, -0.876, -0.027, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.63999927142501E9, 0.0, 2021-12-20 12:21:11.425
32.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 33926.77413544347, 187500.0, 187500.0, 187500.0, -0.030750000000000003, -0.876, -0.027, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.639999271430284E9, 0.0, 2021-12-20 12:21:11.430
34.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 33838.35063437827, 187500.0, 187500.0, 187500.0, -0.030750000000000003, -0.876, -0.027, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.639999271443296E9, 0.0, 2021-12-20 12:21:11.443
36.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 33746.06028152231, 187500.0, 187500.0, 187500.0, -0.031375, -0.938, -0.0275, 192.0, 127.5, 0.0, 112.0, 96.0, 127.5, 16.0, 0.0, 0.0, 0.0, 1.63999927144662E9, 0.0, 2021-12-20 12:21:11.446
38.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 33668.38796954012, 187500.0, 187500.0, 187500.0, -0.031375, -0.938, -0.0275, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.639999271458859E9, 0.0, 2021-12-20 12:21:11.458
40.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 33593.84490178167, 187500.0, 187500.0, 187500.0, -0.031375, -0.938, -0.0275, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.639999271464007E9, 0.0, 2021-12-20 12:21:11.464
42.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 33534.65748246402, 187500.0, 187500.0, 187500.0, -0.031375, -0.938, -0.0275, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.63999927146883E9, 0.0, 2021-12-20 12:21:11.468
44.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 33495.07254303367, 187500.0, 187500.0, 187500.0, -0.031375, -0.938, -0.0275, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.639999271475996E9, 0.0, 2021-12-20 12:21:11.475
